,layer,module_name,module_type,example_idx,example_str,act_idx,act_type,token_idx,token_str,value,grad,ie,abs_ie,node_abs_ie_x,node_abs_ie_y
0,0,blocks.0.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",16715,feature,1,When,2.291262626647949,0.010296305641531944,-0.04545212164521217,0.04545212164521217,0.04545212164521217,0.04545212164521217
1,0,blocks.0.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",1206,feature,2, John,2.413311004638672,0.007726694922894239,0.136691153049469,0.136691153049469,0.136691153049469,0.136691153049469
2,0,blocks.0.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",7292,feature,2, John,1.7602800130844116,0.003630419261753559,-0.04604503884911537,0.04604503884911537,0.04604503884911537,0.04604503884911537
3,0,blocks.0.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",4185,feature,4, Mary,2.886105537414551,0.014407437294721603,0.6216878890991211,0.6216878890991211,0.6216878890991211,0.6216878890991211
4,0,blocks.0.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",7034,feature,4, Mary,0.624169111251831,0.009516908787190914,-0.052135806530714035,0.052135806530714035,0.052135806530714035,0.052135806530714035
5,0,blocks.0.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",15033,feature,4, Mary,0.8964160084724426,0.012235581874847412,-0.05811653658747673,0.05811653658747673,0.05811653658747673,0.05811653658747673
6,0,blocks.0.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",20998,feature,4, Mary,0.7277019619941711,-0.003901215735822916,-0.04450609162449837,0.04450609162449837,0.04450609162449837,0.04450609162449837
7,0,blocks.0.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",12728,feature,14, to,2.209141731262207,0.016350949183106422,-0.12480196356773376,0.12480196356773376,0.12480196356773376,0.12480196356773376
8,1,blocks.1.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",1737,feature,2, John,29.925931930541992,-0.000977317919023335,0.14501504600048065,0.14501504600048065,0.14501504600048065,0.14501504600048065
9,1,blocks.1.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",6941,feature,3, and,23.223289489746094,-0.0014125568559393287,-0.07396329939365387,0.07396329939365387,0.07396329939365387,0.07396329939365387
10,1,blocks.1.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",989,feature,4, Mary,38.139923095703125,0.0007560464437119663,0.1437346339225769,0.1437346339225769,0.1437346339225769,0.1437346339225769
11,1,blocks.1.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",16230,feature,4, Mary,5.317925453186035,-0.0005569448112510145,-0.03350936993956566,0.03350936993956566,0.03350936993956566,0.03350936993956566
12,1,blocks.1.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",24149,feature,4, Mary,5.038895606994629,0.0005967224133200943,-0.034332241863012314,0.034332241863012314,0.034332241863012314,0.034332241863012314
13,1,blocks.1.hook_resid_pre,resid,0,"When John and Mary went to the shops, John gave the bag to Mary",4948,feature,14, to,20.3328857421875,-0.0011010406306013465,-0.14788153767585754,0.14788153767585754,0.14788153767585754,0.14788153767585754
